iter	Passed	Remaining
0	3	3408
1	9	4754
2	12	4213
3	15	3982
4	19	3788
5	24	4095
6	27	3942
7	31	3852
8	34	3770
9	40	3971
10	43	3892
11	46	3806
12	49	3755
13	54	3835
14	57	3792
15	60	3734
16	64	3707
17	69	3770
18	72	3730
19	75	3683
20	78	3660
21	83	3696
22	86	3684
23	89	3646
24	93	3630
25	97	3663
26	101	3652
27	104	3620
28	107	3586
29	111	3618
30	115	3600
31	118	3577
32	121	3569
33	126	3598
34	129	3578
35	132	3557
36	135	3535
37	139	3529
38	142	3519
39	145	3500
40	149	3486
41	152	3484
42	156	3472
43	159	3464
44	163	3474
45	166	3458
46	169	3440
47	173	3431
48	176	3432
49	181	3456
50	187	3493
51	191	3486
52	196	3512
53	199	3500
54	202	3483
55	206	3478
56	211	3499
57	214	3485
58	216	3458
59	220	3452
60	225	3476
61	229	3466
62	232	3453
63	235	3442
64	239	3449
65	242	3437
66	246	3434
67	249	3421
68	257	3473
69	260	3464
70	263	3452
71	268	3462
72	271	3447
73	274	3436
74	277	3426
75	282	3433
76	285	3425
77	288	3415
78	291	3404
79	295	3399
80	298	3389
81	301	3379
82	305	3370
83	310	3386
84	313	3378
85	316	3366
86	319	3353
87	322	3343
88	326	3337
89	328	3326
90	332	3318
91	337	3334
92	340	3325
93	344	3315
94	347	3308
95	353	3327
96	356	3316
97	358	3298
98	361	3291
99	368	3313
100	371	3304
101	373	3291
102	377	3283
103	383	3301
104	386	3294
105	389	3285
106	392	3278
107	400	3305
108	403	3298
109	406	3289
110	409	3282
111	413	3278
112	416	3270
113	419	3261
114	424	3265
115	428	3262
116	431	3253
117	434	3246
118	439	3250
119	442	3245
120	445	3238
121	449	3232
122	453	3235
123	457	3230
124	460	3221
125	463	3217
126	468	3222
127	472	3216
128	475	3207
129	477	3196
130	482	3200
131	485	3193
132	488	3186
133	492	3179
134	497	3187
135	500	3181
136	503	3173
137	506	3166
138	510	3162
139	513	3155
140	517	3150
141	520	3143
142	524	3141
143	527	3136
144	531	3132
145	534	3125
146	539	3127
147	542	3122
148	545	3114
149	548	3107
150	551	3100
151	555	3098
152	558	3091
153	561	3085
154	566	3089
155	569	3079
156	572	3074
157	575	3068
158	579	3067
159	584	3070
160	587	3063
161	591	3057
162	597	3067
163	600	3060
164	603	3052
165	606	3047
166	612	3054
167	616	3052
168	619	3044
169	622	3037
170	628	3047
171	631	3042
172	635	3036
173	639	3035
174	642	3029
175	645	3023
176	648	3017
177	652	3012
178	655	3008
179	658	3001
180	661	2995
181	665	2990
182	669	2989
183	672	2984
184	675	2977
185	679	2973
186	682	2968
187	685	2962
188	689	2957
189	692	2952
190	695	2947
191	698	2941
192	702	2936
193	705	2930
194	708	2924
195	711	2918
196	714	2911
197	720	2917
198	723	2911
199	726	2904
200	729	2901
201	736	2907
202	739	2902
203	742	2896
204	745	2890
205	751	2896
206	754	2890
207	757	2883
208	760	2877
209	766	2883
210	769	2876
211	772	2870
212	775	2865
213	781	2869
214	784	2863
215	787	2858
216	790	2852
217	795	2854
218	798	2849
219	801	2842
220	804	2836
221	810	2840
222	813	2835
223	816	2828
224	819	2822
225	825	2826
226	828	2821
227	831	2814
228	834	2809
229	840	2814
230	843	2808
231	846	2803
232	850	2798
233	856	2802
234	859	2796
235	862	2791
236	865	2785
237	871	2789
238	874	2783
239	876	2776
240	879	2771
241	885	2774
242	889	2769
243	891	2763
244	894	2757
245	900	2760
246	904	2756
247	906	2749
248	910	2746
249	916	2750
250	919	2745
251	922	2739
252	926	2735
253	929	2730
254	932	2724
255	936	2720
256	942	2725
257	946	2721
258	949	2715
259	953	2713
260	956	2709
261	959	2703
262	962	2697
263	968	2701
264	972	2696
265	975	2690
266	981	2693
267	984	2688
268	987	2683
269	990	2677
270	995	2678
271	999	2675
272	1002	2670
273	1005	2665
274	1012	2668
275	1015	2662
276	1018	2657
277	1021	2652
278	1027	2655
279	1031	2651
280	1033	2645
281	1037	2641
282	1041	2638
